timestamp,cnt
0,1182.7351362273089
10,1060.491781452742
20,1089.9270482502952
30,1198.9247723509134
40,870.9478328010451
50,1450.9891685177831
60,853.859192085476
70,1084.334337358483
80,1222.9954248791212
90,1135.3658883332998
100,1018.2461319897607
110,1215.0917262523076
120,1323.3562102703784
130,1094.5579083934722
140,1119.252058408562
150,1016.9431430412925
160,939.0681461410566
170,1336.747282137021
180,1050.9844607367172
190,1029.3016820744697
200,1365.8256396569236
210,1032.0615767155587
220,1209.1177337786394
230,1496.882406292931
240,1367.1556583233553
250,1226.7775247397592
260,867.3345592793505
270,1305.6030699388043
280,1210.9440551016366
290,1388.6753098581905
300,1335.231530826255
310,1148.751279210342
320,919.1729013988443
330,946.0843932030007
340,1561.3783144887543
350,1287.9041861511191
360,1529.429118488367
370,1183.9553169851358
380,1711.9717129267433
390,1492.716265736352
400,1447.3124696437064
410,1139.5569891827804
420,1223.3342707077713
430,1298.0213743115728
440,1091.2178059104886
450,1614.6632002090423
460,1263.7388694295519
470,1229.2707933520774
480,1335.5092231066656
490,1239.0692199209611
500,1311.1363846177028
510,1623.077796412042
520,1615.2522399744912
530,1390.1492352703253
540,1197.1550809658552
550,1681.1174084203158
560,939.0223419577005
570,1137.2915473089088
580,863.7992376749849
590,1685.3995655745846
600,1219.964371861671
610,1329.0681405849136
620,1843.9211864482543
630,1203.8452006020464
640,1704.8514985372374
650,1466.0755257289977
660,1355.5711324750523
670,894.2079439934143
680,1242.822775627788
690,1353.2310177789145
700,1350.1603540855738
710,1377.247063875066
720,1128.0571992381938
730,1069.2676243628148
740,984.7337720115404
750,1320.9435200320174
760,1261.2792088491058
770,1341.965398800247
780,1300.775474474881
790,1220.7275559050368
800,1350.5854414320079
810,931.8218830885949
820,1280.9364260500233
830,1031.8033122852623
840,1052.8775244628928
850,1146.5532478974856
860,781.8126788076694
870,1159.6885522096286
880,1093.6490575773105
890,740.0690644427576
900,1254.3451486890463
910,1052.6727880180963
920,1264.8861507590323
930,1029.3093505883257
940,1281.6559853541178
950,1382.5961979702813
960,874.8085240708571
970,1094.3563019083128
980,909.0081806558185
990,1183.0022915528464
1000,784.5824381193863
1010,1113.0931194088366
1020,980.8356501330118
1030,713.6063762287596
1040,343.9408191548598
1050,720.2607988111338
1060,1305.179360882161
1070,865.8327222650767
1080,1151.839509913445
1090,753.4018396978615
1100,793.7567014970995
1110,841.8309811718923
1120,599.344753601566
1130,410.8954938827362
1140,891.969516184858
1150,594.8607512182735
1160,833.0060559280234
1170,1090.4966150598393
1180,894.0386384559348
1190,957.4482035378271
1200,675.4012050882692
1210,987.3190657330848
1220,601.4318164208015
1230,1122.6933215333383
